sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;7.318;7.372;7.33;7.33;7.306;7.306;7.306;253;1848.49;2;
2019-09-26;7.288;7.348;7.40;7.40;7.344;7.344;7.398;643;4757.02;5;
2019-09-25;7.458;7.51;7.49;7.49;7.49;7.49;7.49;100;749;1;
2019-09-24;7.566;7.618;;;;7.49;;;;0;
2019-09-23;7.384;7.566;;;;7.49;;;;0;
2019-09-20;7.578;7.636;7.49;7.49;7.49;7.49;7.49;100;749;1;
2019-09-19;7.428;7.48;;;;7.30;;;;0;
2019-09-18;7.392;7.438;7.30;7.30;7.30;7.30;7.30;1000;7300;2;
2019-09-17;7.242;7.294;7.308;7.308;7.308;7.308;7.308;2;14.62;1;
2019-09-16;7.212;7.264;;;;7.30;;;;0;
2019-09-13;7.278;7.33;7.30;7.30;7.30;7.30;7.30;100;730;2;
2019-09-12;7.282;7.336;7.354;7.354;7.354;7.354;7.354;100;735.4;1;
2019-09-11;7.24;7.292;;;;7.20;;;;0;
2019-09-10;7.198;7.25;7.20;7.20;7.20;7.20;7.20;6;43.2;1;
2019-09-09;7.126;7.178;7.23;7.23;7.20;7.20;7.213;728;5251.22;5;
2019-09-06;7.276;7.38;7.20;7.20;7.20;7.20;7.20;5;36;1;
2019-09-05;7.162;7.214;7.15;7.15;7.138;7.138;7.15;1385;9902.7;3;
2019-09-04;7.00;7.046;7.00;7.00;7.00;7.00;7.00;50;350;1;
2019-09-03;7.006;7.054;7.10;7.10;7.10;7.10;7.10;1000;7100;2;
2019-09-02;;7.86;7.09;7.09;7.09;7.09;7.09;5;35.45;1;
2019-08-30;7.042;7.094;7.078;7.09;7.078;7.09;7.085;609;4314.7;2;
2019-08-29;7.09;7.128;6.964;6.964;6.964;6.964;6.964;602;4192.33;3;
2019-08-28;6.934;6.984;7.18;7.18;7.18;7.18;7.18;2;14.36;1;
2019-08-27;7.192;7.246;;;;7.29;;;;0;
2019-08-26;7.258;7.31;7.272;7.29;7.272;7.29;7.277;70;509.4;4;
2019-08-23;7.33;7.382;;;;7.534;;;;0;
2019-08-22;7.324;7.378;;;;7.534;;;;0;
2019-08-21;7.534;7.564;;;;7.534;;;;0;
2019-08-20;7.46;7.58;;;;7.534;;;;0;
2019-08-19;7.528;7.588;7.534;7.534;7.534;7.534;7.534;4;30.14;1;
2019-08-16;7.456;7.516;7.558;7.558;7.558;7.558;7.558;5;37.79;1;
2019-08-15;7.366;7.418;7.50;7.50;7.338;7.338;7.409;511;3786.2;5;
2019-08-14;7.486;7.532;;;;7.648;;;;0;
2019-08-13;7.81;7.856;7.648;7.648;7.648;7.648;7.648;35;267.68;1;
2019-08-12;7.734;7.754;7.734;7.734;7.734;7.734;7.734;108;835.27;2;
2019-08-09;7.708;7.768;;;;7.67;;;;0;
2019-08-08;7.756;7.81;7.67;7.67;7.67;7.67;7.67;400;3068;1;
2019-08-07;7.522;7.568;;;;7.628;;;;0;
2019-08-06;7.51;7.568;7.574;7.628;7.55;7.628;7.568;543;4109.14;6;
2019-08-05;7.588;7.648;7.57;7.582;7.57;7.57;7.574;300;2272.2;3;
2019-08-02;7.696;7.808;;;;8.02;;;;0;
2019-08-01;8.104;8.15;;;;8.02;;;;0;
2019-07-31;7.93;7.99;;;;8.02;;;;0;
2019-07-30;7.912;7.966;;;;8.02;;;;0;
2019-07-29;8.076;8.126;;;;8.02;;;;0;
2019-07-26;8.044;8.102;7.994;8.022;7.994;8.02;8.022;201;1612.34;3;
2019-07-25;7.944;7.994;7.932;7.994;7.932;7.994;7.944;101;802.36;3;
2019-07-24;7.836;7.892;;;;7.95;;;;0;
2019-07-23;7.914;7.97;;;;7.95;;;;0;
2019-07-22;7.828;7.874;;;;7.95;;;;0;
2019-07-19;7.926;7.976;7.95;7.95;7.95;7.95;7.95;5;39.75;1;
2019-07-18;7.672;7.776;7.874;7.874;7.782;7.782;7.849;2392;18774.47;8;
2019-07-17;7.59;7.64;7.974;7.974;7.75;7.874;7.777;3764;29270.69;4;
2019-07-16;8.508;8.61;8.57;8.624;8.526;8.624;8.573;940;8058.96;3;
2019-07-15;8.57;8.624;8.53;8.53;8.53;8.53;8.53;20;170.6;1;
2019-07-12;8.454;8.552;8.53;8.53;8.53;8.53;8.53;2;17.06;1;
2019-07-11;8.374;8.482;;;;8.406;;;;0;
2019-07-10;8.40;8.466;8.446;8.446;8.406;8.406;8.426;300;2527.8;3;
2019-07-09;8.32;8.442;8.416;8.416;8.416;8.416;8.416;36;302.98;1;
2019-07-08;8.38;8.454;;;;8.48;;;;0;
2019-07-05;8.254;8.374;8.48;8.48;8.48;8.48;8.48;50;424;2;
2019-07-04;8.358;8.49;8.48;8.48;8.48;8.48;8.48;100;848;1;
2019-07-03;8.504;8.592;8.54;8.54;8.54;8.54;8.54;400;3416;1;
2019-07-02;8.366;8.464;8.396;8.396;8.396;8.396;8.396;3309;27782.37;3;
2019-07-01;8.30;8.40;8.50;8.50;8.24;8.24;8.25;520;4290;2;
2019-06-28;8.296;8.378;;;;8.50;;;;0;
2019-06-27;8.392;8.528;8.488;8.50;8.488;8.50;8.492;300;2547.6;2;
2019-06-26;8.448;8.53;8.482;8.514;8.482;8.51;8.508;2100;17867.4;5;
2019-06-25;8.602;8.716;8.768;8.768;8.672;8.672;8.738;73;637.86;2;
2019-06-24;8.634;8.718;8.786;8.786;8.784;8.786;8.786;620;5447.17;3;
2019-06-20;8.796;8.874;8.77;8.77;8.77;8.77;8.77;100;877;1;
2019-06-19;8.66;8.738;8.604;8.676;8.604;8.676;8.64;1300;11232;3;
2019-06-18;8.572;8.646;8.58;8.68;8.58;8.68;8.596;358;3077.44;2;
2019-06-17;8.526;8.60;8.488;8.488;8.488;8.488;8.488;100;848.8;1;
2019-06-14;8.338;8.47;8.45;8.45;8.45;8.45;8.45;197;1664.65;2;
2019-06-13;8.506;8.582;8.954;8.954;8.616;8.616;8.895;165;1467.75;3;
2019-06-12;8.576;8.668;;;;8.608;;;;0;
2019-06-11;8.602;8.686;8.582;8.63;8.582;8.608;8.602;475;4085.8;3;
2019-06-10;;9.00;8.896;9.00;8.64;8.64;8.835;1815;16034.78;8;
2019-06-07;8.778;8.85;;;;8.692;;;;0;
2019-06-06;;;;;;8.692;;;;0;
2019-06-05;8.566;8.658;8.688;8.756;8.68;8.692;8.711;592;5156.8;13;
2019-06-04;8.584;8.672;8.46;8.686;8.46;8.662;8.554;83;710;4;
2019-06-03;8.542;8.638;8.508;8.508;8.508;8.508;8.508;58;493.46;1;
2019-05-31;7.70;;8.604;8.604;8.604;8.604;8.604;20;172.08;2;
2019-05-29;;8.886;;;;8.898;;;;0;
2019-05-28;8.822;8.91;8.898;8.898;8.898;8.898;8.898;100;889.8;1;
2019-05-27;8.838;8.94;8.97;8.97;8.948;8.948;8.966;53;475.21;2;
2019-05-24;8.846;8.936;8.90;8.97;8.90;8.97;8.932;366;3269.02;2;
2019-05-23;8.634;8.704;8.824;8.824;8.802;8.802;8.813;58;511.13;2;
2019-05-22;8.924;9.022;;;;8.518;;;;0;
2019-05-21;8.606;8.70;;;;8.518;;;;0;
2019-05-20;8.518;8.612;8.538;8.538;8.518;8.518;8.525;250;2131.3;3;
2019-05-17;8.394;8.438;8.39;8.39;8.30;8.30;8.304;52;431.78;2;
2019-05-16;8.39;8.452;8.346;8.346;8.346;8.346;8.346;40;333.84;1;
2019-05-15;8.148;8.238;;;;8.32;;;;0;
2019-05-14;8.102;8.192;;;;8.32;;;;0;
2019-05-13;8.008;8.082;8.31;8.322;8.31;8.32;8.32;2466;20515.85;7;
2019-05-10;8.122;8.196;8.194;8.194;8.194;8.194;8.194;300;2458.2;1;
2019-05-09;8.068;8.158;8.32;8.64;8.10;8.10;8.108;2547;20649.7;8;
2019-05-08;8.262;8.364;8.316;8.316;8.316;8.316;8.316;100;831.6;1;
2019-05-07;8.26;8.348;;;;8.39;;;;0;
2019-05-06;8.512;8.582;8.418;8.418;8.39;8.39;8.40;789;6627.47;9;
2019-05-03;8.586;8.656;;;;8.486;;;;0;
2019-05-02;8.584;8.684;8.912;9.112;8.486;8.486;8.869;379;3361.25;6;
2019-04-30;8.914;9.124;8.91;8.91;8.91;8.91;8.91;28;249.48;1;
2019-04-29;8.906;9.006;8.894;8.988;8.894;8.988;8.898;3132;27868.42;2;
2019-04-26;8.918;9.016;8.92;9.012;8.92;8.99;8.968;442;3963.64;7;
2019-04-25;8.824;8.958;9.00;9.00;9.00;9.00;9.00;500;4500;1;
