sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;4.603;4.604;4.563;4.625;4.554;4.593;4.593;9553842;43879909.09;4850;
2019-09-26;4.516;4.518;4.571;4.614;4.515;4.528;4.551;11493631;52303181.33;6780;
2019-09-25;4.566;4.57;4.605;4.606;4.496;4.585;4.558;16622017;75754479.68;11265;
2019-09-24;4.65;4.653;4.668;4.688;4.64;4.648;4.651;9754760;45365503.21;6136;
2019-09-23;4.672;4.675;4.798;4.829;4.652;4.676;4.699;14470927;68002673.02;9423;
2019-09-20;4.792;4.795;4.69;4.798;4.662;4.791;4.756;30433612;144748284.87;13155;
2019-09-19;4.678;4.68;4.631;4.72;4.614;4.672;4.678;14924640;69817854.68;8432;
2019-09-18;4.637;4.639;4.626;4.659;4.596;4.626;4.634;12437386;57632246.33;6515;
2019-09-17;4.602;4.604;4.64;4.653;4.532;4.614;4.598;12460744;57299358.42;8838;
2019-09-16;4.629;4.632;4.661;4.675;4.592;4.642;4.628;13343825;61762662.21;6878;
2019-09-13;4.69;4.691;4.707;4.716;4.676;4.685;4.692;10659437;50016979.97;7182;
2019-09-12;4.69;4.693;4.622;4.698;4.618;4.682;4.67;14802064;69119658.95;9399;
2019-09-11;4.593;4.596;4.60;4.64;4.577;4.612;4.608;15108846;69618857.63;10956;
2019-09-10;4.546;4.549;4.55;4.562;4.498;4.562;4.544;13572905;61674217.32;9006;
2019-09-09;4.524;4.526;4.55;4.58;4.515;4.534;4.542;9646192;43812490.77;6897;
2019-09-06;4.527;4.529;4.494;4.544;4.487;4.535;4.527;10075412;45606919.23;6722;
2019-09-05;4.49;4.493;4.47;4.549;4.467;4.489;4.502;13136912;59135697.36;8425;
2019-09-04;4.446;4.448;4.45;4.472;4.425;4.446;4.448;7682649;34172325.85;5802;
2019-09-03;4.435;4.439;4.50;4.50;4.414;4.447;4.451;10816259;48149489.64;7752;
2019-09-02;4.484;4.485;4.50;4.515;4.479;4.489;4.493;7040275;31631815.08;4438;
2019-08-30;4.49;4.493;4.483;4.518;4.471;4.50;4.50;12908280;58088637.3;7319;
2019-08-29;4.467;4.469;4.418;4.476;4.398;4.452;4.443;11965972;53168523.19;7424;
2019-08-28;4.421;4.424;4.469;4.469;4.375;4.437;4.42;13710547;60596753.16;10540;
2019-08-27;4.467;4.469;4.503;4.516;4.459;4.478;4.481;14173543;63511540.67;7897;
2019-08-26;4.498;4.50;4.496;4.531;4.464;4.505;4.50;8317799;37427681.45;5902;
2019-08-23;4.52;4.523;4.593;4.624;4.511;4.519;4.555;12668817;57708917.34;7832;
2019-08-22;4.579;4.58;4.638;4.652;4.578;4.579;4.597;13302207;61154330.65;8217;
2019-08-21;4.648;4.65;4.646;4.713;4.644;4.648;4.66;7885905;36747829.48;5451;
2019-08-20;4.644;4.646;4.71;4.719;4.629;4.645;4.664;10422716;48610392.23;6428;
2019-08-19;4.714;4.716;4.68;4.722;4.67;4.71;4.704;8515312;40053802.86;4926;
2019-08-16;4.635;4.637;4.58;4.667;4.58;4.633;4.632;13902188;64394657.98;9159;
2019-08-15;4.56;4.561;4.626;4.635;4.456;4.576;4.555;19456927;88596250.36;13841;
2019-08-14;4.605;4.609;4.776;4.777;4.596;4.623;4.647;18025428;83773446.32;9717;
2019-08-13;4.781;4.784;4.735;4.798;4.632;4.776;4.731;15851452;74994014.36;11573;
2019-08-12;4.75;4.751;4.811;4.847;4.736;4.747;4.763;13726734;65378568.7;9307;
2019-08-09;4.79;4.793;4.796;4.827;4.761;4.796;4.795;12932780;62008040.65;9939;
2019-08-08;4.821;4.824;4.761;4.83;4.74;4.815;4.797;14369775;68936855.78;8673;
2019-08-07;4.695;4.696;4.728;4.788;4.647;4.705;4.712;15592866;73465013.54;10521;
2019-08-06;4.758;4.761;4.736;4.809;4.644;4.765;4.754;21981006;104484639.95;17598;
2019-08-05;4.729;4.732;4.765;4.774;4.691;4.745;4.74;26262451;124479956.13;16765;
2019-08-02;4.802;4.806;4.812;4.87;4.776;4.812;4.816;18809493;90592891.63;12771;
2019-08-01;4.918;4.92;4.85;4.956;4.831;4.92;4.916;11082359;54476081.96;7936;
2019-07-31;4.885;4.888;4.882;4.93;4.866;4.88;4.888;16304698;79696644.14;10201;
2019-07-30;4.904;4.906;5.027;5.042;4.893;4.919;4.936;17362206;85708509.15;11389;
2019-07-29;5.054;5.057;5.052;5.078;5.021;5.039;5.044;16245984;81947659.33;8272;
2019-07-26;5.064;5.069;5.077;5.119;5.026;5.068;5.075;24881402;126265660.68;16137;
2019-07-25;4.995;4.997;4.935;5.05;4.856;4.972;4.967;51596990;256265659.46;37838;
2019-07-24;4.657;4.658;4.60;4.677;4.582;4.633;4.638;16691997;77417560.13;9526;
2019-07-23;4.607;4.61;4.585;4.643;4.577;4.598;4.609;13762646;63434125.23;10243;
2019-07-22;4.568;4.571;4.581;4.595;4.541;4.585;4.576;10934101;50038500.49;6660;
2019-07-19;4.581;4.583;4.534;4.598;4.485;4.582;4.572;13098634;59887504.56;8806;
2019-07-18;4.557;4.559;4.539;4.603;4.526;4.552;4.564;14258001;65078788.16;9907;
2019-07-17;4.533;4.535;4.549;4.56;4.488;4.531;4.527;14692519;66512085.23;11298;
2019-07-16;4.593;4.594;4.495;4.606;4.48;4.58;4.565;18287724;83491133.84;10620;
2019-07-15;4.506;4.508;4.485;4.519;4.471;4.495;4.497;8244574;37078168.8;5581;
2019-07-12;4.489;4.491;4.49;4.519;4.48;4.48;4.491;8517232;38252511.38;6174;
2019-07-11;4.481;4.483;4.469;4.505;4.434;4.475;4.476;9282428;41551201.13;6407;
2019-07-10;4.457;4.459;4.439;4.485;4.436;4.45;4.455;9721696;43309183.76;5846;
2019-07-09;4.426;4.43;4.462;4.462;4.388;4.432;4.428;9414024;41682384.77;6110;
2019-07-08;4.451;4.453;4.46;4.501;4.436;4.466;4.46;10028474;44727776.05;6307;
2019-07-05;4.467;4.468;4.495;4.505;4.456;4.481;4.483;11163810;50050166.41;7888;
2019-07-04;4.501;4.503;4.499;4.533;4.481;4.497;4.503;8729914;39309224.84;5262;
2019-07-03;4.494;4.497;4.445;4.532;4.426;4.487;4.493;11011498;49472196.25;7253;
2019-07-02;4.455;4.458;4.438;4.474;4.402;4.445;4.443;15113568;67152262.08;10357;
2019-07-01;4.412;4.412;4.395;4.436;4.311;4.405;4.401;16636158;73218790.22;11495;
2019-06-28;4.368;4.371;4.338;4.406;4.323;4.366;4.373;17354275;75883605.81;10826;
2019-06-27;4.333;4.335;4.40;4.419;4.33;4.35;4.365;15394721;67192721.49;10031;
2019-06-26;4.399;4.40;4.381;4.427;4.348;4.395;4.395;13979198;61434284.58;8958;
2019-06-25;4.38;4.381;4.392;4.42;4.307;4.375;4.361;17774433;77515425.16;12496;
2019-06-24;4.403;4.406;4.502;4.537;4.40;4.425;4.444;21429645;95230059.6;12341;
2019-06-20;4.526;4.53;4.498;4.55;4.46;4.55;4.536;36758144;166724305.8;13198;
2019-06-19;4.471;4.473;4.434;4.502;4.39;4.467;4.466;14914122;66607890.28;7751;
2019-06-18;4.451;4.454;4.40;4.486;4.367;4.448;4.449;20651252;91867502.8;12348;
2019-06-17;4.417;4.419;4.40;4.43;4.374;4.40;4.402;10468422;46079847.81;6242;
2019-06-14;4.388;4.391;4.45;4.45;4.365;4.386;4.394;14997972;65902787;10343;
2019-06-13;4.457;4.459;4.476;4.528;4.45;4.45;4.466;13785427;61567080.93;9683;
2019-06-12;4.473;4.476;4.499;4.534;4.46;4.485;4.486;10921539;48994700.67;7648;
2019-06-11;4.529;4.53;4.393;4.55;4.39;4.526;4.501;21083562;94891074.8;13536;
2019-06-10;4.368;4.373;4.478;4.50;4.367;4.371;4.402;12224538;53810899.28;7418;
2019-06-07;4.441;4.443;4.412;4.467;4.383;4.443;4.439;12756941;56621876.27;9300;
2019-06-06;4.423;4.424;4.455;4.503;4.409;4.415;4.437;11846746;52562405.41;7186;
2019-06-05;4.42;4.422;4.477;4.504;4.398;4.429;4.447;14227863;63296697.22;10040;
2019-06-04;4.465;4.467;4.421;4.49;4.386;4.46;4.447;14143936;62898754.63;9710;
2019-06-03;4.442;4.444;4.468;4.491;4.35;4.457;4.421;19437224;85905020.09;13898;
2019-05-31;4.487;4.488;4.496;4.509;4.434;4.48;4.479;20095095;90005720.07;12916;
2019-05-29;4.407;4.411;4.432;4.478;4.379;4.421;4.419;18285273;80803699.21;11137;
2019-05-28;4.516;4.519;4.541;4.586;4.485;4.521;4.521;33305036;150570812.78;9087;
2019-05-27;4.561;4.562;4.551;4.57;4.522;4.551;4.55;9748778;44356357.49;5765;
2019-05-24;4.482;4.485;4.417;4.565;4.417;4.473;4.489;16885832;75799709.59;9756;
2019-05-23;4.403;4.408;4.581;4.584;4.403;4.406;4.438;18732463;83142484.54;9906;
2019-05-22;4.588;4.59;4.535;4.59;4.51;4.59;4.569;13659148;62411327.38;8147;
2019-05-21;4.587;4.588;4.60;4.627;4.551;4.574;4.586;18079333;82910292.22;12216;
2019-05-20;4.497;4.50;4.516;4.602;4.473;4.492;4.53;27201510;123233090.82;19846;
2019-05-17;4.446;4.448;4.421;4.461;4.358;4.444;4.42;21750895;96142598.34;11453;
2019-05-16;4.416;4.419;4.264;4.429;4.232;4.408;4.366;30264066;132112218.45;17232;
2019-05-15;4.227;4.229;4.257;4.263;4.17;4.233;4.214;24120890;101652731.51;15162;
2019-05-14;4.262;4.264;4.28;4.312;4.256;4.269;4.277;13176405;56349380.84;8464;
2019-05-13;4.266;4.269;4.34;4.341;4.233;4.271;4.272;19994210;85418846.89;12725;
2019-05-10;4.34;4.342;4.368;4.406;4.308;4.342;4.351;16296202;70907286.65;12099;
2019-05-09;4.359;4.362;4.409;4.427;4.352;4.364;4.381;16343927;71601036;11586;
2019-05-08;4.446;4.451;4.47;4.515;4.415;4.453;4.454;23494000;104641165.69;9302;
2019-05-07;4.468;4.469;4.555;4.587;4.435;4.466;4.491;25110589;112784995.79;15990;
2019-05-06;4.562;4.564;4.50;4.565;4.484;4.555;4.527;16341123;73981400.95;10855;
2019-05-03;4.593;4.596;4.60;4.628;4.537;4.582;4.578;16888777;77320714.97;10971;
2019-05-02;4.604;4.605;4.651;4.669;4.594;4.594;4.614;21226509;97935756.41;10449;
2019-04-30;4.662;4.665;4.737;4.747;4.63;4.679;4.673;26099233;121964808.6;13945;
2019-04-29;4.756;4.759;4.80;4.83;4.755;4.76;4.769;12056804;57493758.65;7715;
2019-04-26;4.778;4.781;4.70;4.845;4.698;4.774;4.765;24355442;116045206.06;16820;
2019-04-25;4.673;4.675;4.72;4.801;4.596;4.696;4.694;74203737;348206845.09;53187;
2019-04-24;5.16;5.164;5.157;5.177;5.115;5.16;5.152;15654504;80655565.56;9008;
2019-04-23;5.126;5.129;5.13;5.148;5.092;5.117;5.121;10352524;53020112.49;6190;
2019-04-18;5.124;5.125;5.09;5.154;5.067;5.137;5.127;16030327;82190020.79;7568;
2019-04-17;5.081;5.084;5.05;5.114;5.025;5.082;5.079;21291717;108132999.71;10056;
2019-04-16;5.021;5.025;4.995;5.048;4.975;5.012;5.011;12398586;62125667.51;7504;
