sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;36.25;36.27;36.51;36.51;35.96;36.25;36.171;1457617;52720924.8;7528;
2019-09-26;36.21;36.24;36.37;36.58;36.14;36.30;36.332;1373390;49909121.15;6680;
2019-09-25;36.53;36.55;37.50;37.75;36.48;36.50;36.776;1559827;57367462.2;7216;
2019-09-24;37.52;37.54;37.88;37.89;37.51;37.51;37.607;744010;27980904.17;3198;
2019-09-23;37.85;37.87;37.92;37.95;37.59;37.86;37.807;601156;22726917.63;3357;
2019-09-20;37.92;37.94;38.08;38.34;37.81;37.92;37.959;1763157;66931646.23;5026;
2019-09-19;38.05;38.07;37.81;38.12;37.63;38.00;37.986;939851;35700171.64;3656;
2019-09-18;37.85;37.86;37.95;38.15;37.80;37.80;37.871;776465;29407475.56;2485;
2019-09-17;37.95;37.96;37.97;38.02;37.62;37.95;37.90;1385012;52491242.72;5136;
2019-09-16;38.19;38.21;37.92;38.22;37.71;38.13;38.02;929781;35355127.96;5082;
2019-09-13;38.18;38.20;38.06;38.30;38.03;38.20;38.182;1106999;42267754.56;3695;
2019-09-12;38.10;38.13;38.09;38.19;37.89;38.00;38.016;1269383;48259507.35;5119;
2019-09-11;37.94;37.96;38.30;38.31;37.90;38.04;38.069;998965;38026532.11;4976;
2019-09-10;38.13;38.14;37.84;38.29;37.70;38.12;38.085;1570042;59798679.99;8619;
2019-09-09;37.71;37.73;36.98;37.77;36.93;37.76;37.563;1196249;44931698.7;5948;
2019-09-06;36.85;36.86;36.80;36.89;36.63;36.89;36.824;717092;26405470.83;4004;
2019-09-05;36.70;36.71;36.23;36.82;36.14;36.74;36.65;1094874;40124259.64;5940;
2019-09-04;35.97;35.98;35.95;36.19;35.92;35.94;35.978;1043473;37541604.27;3381;
2019-09-03;35.60;35.62;36.00;36.12;35.60;35.64;35.759;827225;29582509.47;5395;
2019-09-02;36.01;36.02;36.25;36.32;35.94;36.01;36.086;757460;27335520.82;4041;
2019-08-30;36.07;36.09;36.14;36.24;35.95;36.14;36.112;1042965;37663668.77;4937;
2019-08-29;35.98;36.00;35.90;36.17;35.88;36.15;36.064;1149222;41441814.26;4394;
2019-08-28;35.87;35.89;36.59;36.65;35.83;35.84;36.014;1419693;51121371.36;7838;
2019-08-27;36.72;36.74;36.71;36.93;36.53;36.68;36.722;1040399;38206864.87;4741;
2019-08-26;36.82;36.85;36.69;37.03;36.65;36.75;36.804;522909;19245127.75;3087;
2019-08-23;36.85;36.87;37.27;37.33;36.80;36.80;37.03;881522;32643682.92;5532;
2019-08-22;37.23;37.25;37.28;37.48;37.14;37.15;37.241;1405741;52355224.63;5909;
2019-08-21;36.96;36.98;36.79;37.21;36.73;36.96;36.985;928323;34334642.39;3884;
2019-08-20;36.81;36.83;37.27;37.29;36.80;36.80;36.915;565277;20868827.97;3879;
2019-08-19;37.19;37.22;36.90;37.27;36.87;37.27;37.188;1014862;37739672.39;3571;
2019-08-16;36.77;36.79;36.55;37.07;36.47;36.78;36.779;846816;31143647.29;4179;
2019-08-15;36.53;36.55;36.68;36.92;36.30;36.51;36.575;696549;25477641.88;4873;
2019-08-14;36.69;36.71;37.50;37.59;36.60;36.65;36.824;1047899;38589720.33;5493;
2019-08-13;37.51;37.54;37.89;38.04;37.09;37.49;37.497;720036;26999232.53;4054;
2019-08-12;37.66;37.68;37.90;38.04;37.45;37.67;37.663;772498;29093398.03;4870;
2019-08-09;37.82;37.83;37.90;38.21;37.70;37.70;37.82;1188206;44940670.38;6403;
2019-08-08;37.85;37.87;38.02;38.44;37.75;37.90;38.01;1426751;54233968.29;7218;
2019-08-07;38.03;38.07;37.55;38.19;37.21;38.07;37.872;2256225;85444346.92;10436;
2019-08-06;36.82;36.84;36.90;37.23;36.61;36.72;36.877;1361873;50223349.26;6684;
2019-08-05;36.91;36.92;37.20;37.20;36.53;36.90;36.886;1515196;55890734.61;9057;
2019-08-02;37.31;37.34;37.50;37.71;37.16;37.25;37.36;1573572;58789196.89;6866;
2019-08-01;37.63;37.66;37.60;37.98;37.52;37.70;37.755;1246050;47045239.56;6668;
