sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;117.80;117.90;113.40;118.10;112.90;117.70;116.576;887459;103459444.1;2155;
2019-09-26;112.60;112.80;114.40;115.30;112.30;112.90;113.486;737106;83650282.75;1577;
2019-09-25;113.60;113.80;113.60;114.00;111.60;114.00;112.639;1140037;128187825.15;2228;
2019-09-24;113.50;113.60;115.60;116.60;113.30;113.80;114.376;1206955;137413090.15;1776;
2019-09-23;115.40;115.60;117.00;117.50;113.50;115.70;114.954;1681173;193224856.1;2899;
2019-09-20;117.60;117.70;120.00;120.00;117.00;117.80;117.767;1587391;186938036.4;3112;
2019-09-19;119.90;120.00;119.30;120.80;117.60;119.60;119.688;848924;101606730;1890;
2019-09-18;119.10;119.30;120.80;123.40;118.90;119.40;120.68;1775213;214327654.1;3210;
2019-09-17;121.00;121.20;123.00;123.10;119.50;121.00;120.895;1175570;142118749.6;3027;
2019-09-16;124.10;124.30;123.00;127.40;122.00;124.00;125.454;2028664;254509106.8;4563;
2019-09-13;123.50;123.60;121.00;124.90;121.00;123.50;123.524;1500793;185381303.5;3366;
2019-09-12;121.30;121.40;119.50;122.10;118.80;120.90;120.418;1531147;184319184.74;3069;
2019-09-11;119.20;119.40;121.20;122.60;118.80;119.20;121.144;1551521;187974151.05;3229;
2019-09-10;120.50;120.60;117.00;120.80;117.00;120.40;119.424;2113955;252312877.9;4076;
2019-09-09;117.30;117.50;115.10;117.40;113.90;117.10;115.621;1270609;147057872.35;2739;
2019-09-06;114.80;114.90;113.30;115.00;112.60;115.00;113.956;877819;100014366.1;2088;
2019-09-05;113.10;113.30;111.10;114.90;111.10;113.30;113.706;2105789;239449943.5;4317;
2019-09-04;110.60;110.80;108.20;111.10;107.70;110.50;109.449;1691763;185743738.15;2497;
2019-09-03;107.60;107.80;108.20;109.10;107.20;107.60;107.925;605523;65349060.05;1639;
2019-09-02;107.90;108.00;110.40;110.70;107.20;108.00;108.277;813268;88055870.75;2331;
2019-08-30;110.30;110.40;108.00;110.50;107.50;110.10;109.472;885860;96977087.95;2240;
2019-08-29;107.50;107.70;104.00;108.10;103.70;107.60;106.711;890757;95051323.65;2192;
2019-08-28;104.00;104.10;105.70;106.00;102.60;104.30;103.596;854047;88475833.85;2291;
2019-08-27;104.80;105.00;103.60;106.60;103.00;105.10;105.164;593832;62449336.5;1537;
2019-08-26;104.20;104.30;102.90;105.20;102.40;104.60;104.229;863227;89980745.1;2080;
2019-08-23;104.00;104.10;108.30;109.10;104.00;104.30;105.979;771544;81766925.6;2319;
2019-08-22;107.20;107.30;106.20;108.30;104.20;107.20;107.038;1011183;108238399.55;2561;
2019-08-21;106.30;106.50;105.40;107.80;105.30;106.50;106.668;634516;67682336.9;1738;
2019-08-20;105.00;105.20;106.00;107.30;104.50;105.00;105.645;907488;95839828.5;1907;
2019-08-19;105.40;105.60;104.70;106.30;103.90;105.50;105.131;952440;99893057.56;2215;
2019-08-16;103.80;103.90;100.70;103.90;100.50;103.40;102.553;907041;93019317.15;2403;
2019-08-15;99.90;100.10;100.10;101.00;97.60;100.20;99.298;1525099;151438515.75;3279;
2019-08-14;99.40;99.55;104.30;104.30;99.10;99.75;100.747;1766253;178712405.35;2992;
2019-08-13;103.80;103.90;102.10;104.80;100.20;103.80;102.188;1018955;104133634.15;2442;
2019-08-12;102.40;102.50;103.50;104.50;101.60;102.50;102.587;527270;54090947.5;1265;
2019-08-09;103.00;103.20;103.10;103.50;101.60;102.80;102.769;573745;58963492.65;1473;
2019-08-08;102.70;102.90;102.10;103.40;102.00;103.00;102.727;983072;100988820.3;2237;
2019-08-07;100.50;100.60;101.60;101.90;99.65;100.60;100.555;900310;90529839.4;2295;
2019-08-06;100.40;100.50;102.10;103.20;100.30;100.50;101.718;969979;98663868.15;2392;
2019-08-05;102.20;102.30;102.80;102.80;100.00;102.30;101.168;1387924;140414316.15;3568;
2019-08-02;103.80;103.90;107.40;107.50;102.90;104.20;104.748;2041058;213814291.05;5388;
2019-08-01;109.70;109.90;111.10;111.50;109.10;110.00;110.049;482925;53144020.2;1380;
2019-07-31;111.40;111.50;111.30;113.40;111.20;111.20;112.365;347774;39076858.9;1251;
2019-07-30;110.90;111.10;113.10;113.20;110.80;111.50;111.986;326683;36583551;1220;
2019-07-29;112.60;112.80;113.50;113.90;112.20;112.60;112.814;328267;37033255.4;975;
2019-07-26;113.00;113.20;113.50;114.10;111.40;113.10;112.882;476008;53732755.5;1395;
2019-07-25;113.80;114.00;116.00;116.80;112.90;113.70;114.725;1184137;135850087.4;2764;
2019-07-24;116.50;116.60;112.80;116.70;111.40;115.90;114.592;1213087;139000771.15;2875;
2019-07-23;113.00;113.20;105.10;113.50;105.10;112.80;110.682;2922917;323089632.35;5983;
2019-07-22;103.90;104.10;100.50;106.40;100.50;104.10;104.402;1373032;143311993.5;3550;
2019-07-19;99.70;99.85;98.25;104.30;95.70;100.10;99.922;2510307;250954001.29;6086;
2019-07-18;101.40;101.70;103.70;103.70;101.30;101.70;101.96;1006405;102613584.25;3061;
2019-07-17;103.60;103.70;106.40;107.00;103.30;103.90;104.92;917103;96227890.9;2258;
2019-07-16;106.50;106.60;106.00;106.80;105.00;106.70;106.098;931234;98804199.3;2403;
2019-07-15;106.40;106.60;106.60;107.50;105.70;106.40;106.573;522685;55705201.15;1493;
2019-07-12;106.20;106.30;104.50;106.90;104.50;106.30;105.90;593647;62867068.3;1749;
2019-07-11;104.20;104.30;106.10;106.20;103.90;104.30;104.80;847674;88831363.3;2034;
2019-07-10;105.50;105.60;107.00;108.00;105.50;105.70;106.563;635093;67677707.3;1471;
2019-07-09;107.00;107.10;110.40;110.40;106.60;106.80;107.792;1222698;131797110.6;2964;
2019-07-08;110.90;111.00;111.30;112.00;109.90;110.90;110.898;790930;87732444.55;1853;
2019-07-05;111.70;111.90;110.80;112.90;108.60;111.70;110.798;1178006;130527860.9;2642;
2019-07-04;110.70;110.80;110.40;111.60;110.00;110.90;110.843;778039;86239309.6;1911;
2019-07-03;109.90;110.10;109.60;110.30;108.20;110.10;109.607;917020;100511312.5;2355;
2019-07-02;109.40;109.50;113.10;113.10;109.00;109.50;110.26;1195027;131758915.25;3672;
2019-07-01;113.00;113.10;110.70;113.20;110.40;113.00;112.335;1623983;182430243.6;3751;
2019-06-28;108.90;109.00;106.00;109.50;105.50;109.40;107.571;1611973;173409978.1;3988;
2019-06-27;105.80;105.90;105.60;107.60;105.60;106.00;106.652;1291780;137813133.2;2849;
