sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;4.13;4.131;4.119;4.141;4.109;4.127;4.129;381371;1574834.75;400;
2019-09-26;4.111;4.113;4.105;4.132;4.09;4.118;4.115;400185;1646883.76;486;
2019-09-25;4.101;4.102;4.13;4.154;4.062;4.098;4.091;339295;1388130.95;459;
2019-09-24;4.143;4.148;4.111;4.16;4.111;4.138;4.142;537299;2225259.88;599;
2019-09-23;4.119;4.122;4.15;4.166;4.092;4.111;4.13;649981;2684151.23;681;
2019-09-20;4.163;4.166;4.146;4.173;4.145;4.154;4.156;1652246;6866537.1;1110;
2019-09-19;4.14;4.142;4.102;4.147;4.093;4.147;4.124;1477293;6092912.28;1801;
2019-09-18;4.101;4.104;4.066;4.105;4.063;4.104;4.086;436127;1782045.6;542;
2019-09-17;4.07;4.073;4.07;4.088;4.049;4.078;4.068;724607;2947318.65;738;
2019-09-16;4.05;4.055;4.006;4.064;4.006;4.052;4.044;435792;1762171.45;617;
2019-09-13;4.026;4.031;4.04;4.06;4.021;4.021;4.038;380893;1537920.28;579;
2019-09-12;4.051;4.053;3.976;4.066;3.97;4.054;4.04;2088871;8435137.4;2482;
2019-09-11;3.97;3.973;3.952;3.978;3.926;3.972;3.956;620141;2452997.92;701;
2019-09-10;3.936;3.94;3.982;4.00;3.912;3.94;3.94;636219;2506846.56;1068;
2019-09-09;3.99;3.992;4.038;4.053;3.988;3.989;4.01;488009;1956962.26;616;
2019-09-06;4.032;4.034;4.014;4.04;3.99;4.038;4.019;261874;1052372.93;470;
2019-09-05;4.006;4.01;4.05;4.062;4.002;4.009;4.032;530697;2139877.19;688;
2019-09-04;4.034;4.036;4.03;4.051;4.017;4.039;4.031;401739;1619303.22;409;
2019-09-03;4.008;4.01;4.00;4.029;3.992;3.997;4.007;384852;1542195.76;616;
2019-09-02;4.00;4.004;3.962;4.037;3.962;4.004;4.019;468923;1884597.76;521;
2019-08-30;3.962;3.966;3.964;3.982;3.953;3.978;3.969;437013;1734566.06;492;
2019-08-29;3.964;3.965;3.908;3.974;3.903;3.96;3.951;539808;2132943.51;578;
2019-08-28;3.911;3.914;3.882;3.917;3.88;3.908;3.898;552294;2152821.62;619;
2019-08-27;3.879;3.881;3.842;3.882;3.842;3.882;3.867;1219793;4716602.72;448;
2019-08-26;3.851;3.854;3.80;3.86;3.792;3.842;3.829;528562;2023751.56;508;
2019-08-23;3.813;3.817;3.843;3.847;3.811;3.814;3.834;350283;1342843.32;524;
2019-08-22;3.813;3.816;3.857;3.865;3.811;3.812;3.835;432201;1657343.66;504;
2019-08-21;3.852;3.856;3.811;3.859;3.811;3.848;3.847;300238;1155031.01;360;
2019-08-20;3.822;3.826;3.864;3.874;3.811;3.811;3.834;624212;2393126.4;898;
2019-08-19;3.858;3.863;3.85;3.87;3.828;3.868;3.854;473994;1826658.91;586;
2019-08-16;3.83;3.834;3.79;3.844;3.79;3.84;3.826;372832;1426312.45;372;
2019-08-15;3.777;3.783;3.78;3.808;3.76;3.785;3.783;901876;3411424.53;1080;
2019-08-14;3.787;3.79;3.866;3.885;3.78;3.78;3.818;1046933;3997436.39;1058;
2019-08-13;3.863;3.867;3.837;3.888;3.831;3.862;3.852;1589947;6129756.2;1420;
2019-08-12;3.835;3.839;3.852;3.88;3.83;3.837;3.842;619911;2381367.97;876;
2019-08-09;3.85;3.852;3.86;3.875;3.845;3.852;3.858;453842;1750774;831;
2019-08-08;3.864;3.868;3.865;3.884;3.857;3.873;3.87;629735;2436844.58;687;
2019-08-07;3.845;3.849;3.87;3.907;3.811;3.845;3.853;593811;2287807.12;823;
2019-08-06;3.861;3.865;3.885;3.912;3.854;3.868;3.884;619369;2405308.65;1003;
2019-08-05;3.895;3.90;3.957;3.992;3.879;3.885;3.909;987695;3861084.57;1441;
2019-08-02;4.008;4.014;4.029;4.041;3.987;4.008;4.01;406478;1629937.4;593;
2019-08-01;4.048;4.05;4.02;4.08;4.015;4.045;4.054;291149;1180451.27;373;
2019-07-31;4.04;4.046;4.04;4.047;4.018;4.034;4.032;257134;1036837.08;437;
2019-07-30;4.046;4.048;4.104;4.104;4.035;4.04;4.067;428884;1744365.36;542;
2019-07-29;4.108;4.113;4.056;4.131;4.044;4.104;4.112;458180;1884205.01;609;
2019-07-26;4.059;4.062;4.032;4.068;4.032;4.062;4.058;221539;898935.51;351;
2019-07-25;4.033;4.038;4.063;4.09;4.02;4.03;4.055;249488;1011631.1;314;
2019-07-24;4.048;4.05;4.058;4.07;4.024;4.06;4.048;751862;3043425.88;765;
2019-07-23;4.063;4.067;4.05;4.07;4.03;4.07;4.058;505739;2052282.7;527;
2019-07-22;4.054;4.057;4.043;4.075;4.04;4.047;4.054;568523;2304633.86;596;
2019-07-19;4.05;4.053;4.081;4.095;4.034;4.051;4.056;733330;2974465.2;854;
2019-07-18;4.085;4.089;4.028;4.129;4.015;4.08;4.097;1067964;4375139.62;1307;
2019-07-17;4.029;4.031;4.035;4.058;4.02;4.028;4.034;434541;1753130.14;491;
2019-07-16;4.05;4.053;4.08;4.093;4.031;4.044;4.052;553856;2243983.81;758;
2019-07-15;4.098;4.102;4.10;4.127;4.067;4.10;4.091;537551;2199093.4;661;
2019-07-12;4.111;4.117;4.11;4.143;4.102;4.106;4.13;924409;3817995.71;942;
2019-07-11;4.108;4.11;4.112;4.132;4.102;4.111;4.117;718043;2956053.56;767;
2019-07-10;4.093;4.095;4.078;4.116;4.071;4.09;4.095;420416;1721393.74;648;
2019-07-09;4.103;4.105;4.099;4.112;4.071;4.095;4.095;616565;2524645.65;577;
2019-07-08;4.106;4.109;4.076;4.127;4.073;4.11;4.104;804273;3300636.43;956;
2019-07-05;4.08;4.082;4.10;4.117;4.074;4.091;4.095;647333;2650991.71;737;
2019-07-04;4.096;4.102;4.087;4.106;4.08;4.095;4.094;421242;1724539.13;521;
2019-07-03;4.094;4.095;4.048;4.112;4.042;4.096;4.091;851649;3484145.25;1018;
2019-07-02;4.037;4.039;4.001;4.055;3.993;4.051;4.032;1136210;4580664.45;1173;
2019-07-01;3.993;3.999;3.945;4.016;3.945;4.002;3.988;1228703;4900585.53;1288;
2019-06-28;3.909;3.914;3.892;3.934;3.892;3.915;3.916;693147;2714401.19;798;
2019-06-27;3.894;3.898;3.93;3.93;3.89;3.895;3.902;392866;1532934.46;388;
2019-06-26;3.92;3.923;3.937;3.939;3.915;3.93;3.927;370803;1455988.31;409;
2019-06-25;3.938;3.942;3.905;3.942;3.892;3.935;3.93;628022;2468031.44;694;
2019-06-24;3.894;3.896;3.91;3.928;3.887;3.903;3.908;276333;1079907.76;440;
2019-06-20;3.915;3.92;3.927;3.95;3.911;3.918;3.924;838562;3290378.61;1199;
2019-06-19;3.898;3.901;3.939;3.939;3.893;3.897;3.91;520808;2036225.33;715;
2019-06-18;3.942;3.946;3.872;3.949;3.871;3.946;3.918;587425;2301786.45;613;
2019-06-17;3.874;3.878;3.883;3.90;3.869;3.87;3.885;235669;915656.43;335;
2019-06-14;3.877;3.882;3.846;3.894;3.832;3.888;3.872;718939;2783953.28;597;
2019-06-13;3.838;3.842;3.827;3.87;3.827;3.849;3.852;635503;2447883.93;726;
2019-06-12;3.836;3.84;3.818;3.844;3.804;3.834;3.823;424294;1622224.21;557;
2019-06-11;3.824;3.828;3.829;3.837;3.82;3.829;3.83;273314;1046792.58;342;
