sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-09-27;23.44;23.46;23.86;23.86;23.42;23.42;23.526;74813;1760067.28;650;
2019-09-26;23.52;23.56;23.36;23.62;23.34;23.58;23.549;55086;1297214.22;452;
2019-09-25;23.26;23.30;23.36;23.50;23.16;23.28;23.289;77332;1800957.36;793;
2019-09-24;23.34;23.36;23.80;23.80;23.32;23.36;23.499;368366;8656152.76;524;
2019-09-23;23.64;23.66;23.80;24.00;23.60;23.70;23.778;110513;2628216.48;463;
2019-09-20;23.84;23.88;24.28;24.28;23.78;23.84;23.876;113640;2713262.25;800;
2019-09-19;24.06;24.10;23.88;24.12;23.76;24.02;24.013;83756;2011424.61;616;
2019-09-18;23.76;23.80;24.28;24.28;23.70;23.80;23.805;74736;1779097.22;677;
2019-09-17;24.00;24.04;24.06;24.06;23.68;24.06;23.908;131340;3139386.29;848;
2019-09-16;24.06;24.10;23.66;24.10;23.60;24.06;23.91;98293;2350074.78;774;
2019-09-13;23.84;23.88;23.72;24.02;23.62;23.82;23.84;120081;2862757.42;959;
2019-09-12;23.76;23.80;23.28;23.78;23.20;23.72;23.584;155234;3660677.05;1227;
2019-09-11;23.32;23.36;23.58;23.58;23.26;23.32;23.324;150288;3504925.16;671;
2019-09-10;23.36;23.40;23.42;23.44;23.26;23.44;23.368;171982;4018822.08;1070;
2019-09-09;23.44;23.48;23.26;23.50;23.18;23.48;23.383;120376;2814672.36;972;
2019-09-06;23.28;23.32;23.14;23.34;23.04;23.26;23.209;111519;2588522.13;841;
2019-09-05;23.12;23.14;22.74;23.16;22.72;23.10;23.001;120384;2769059.54;968;
2019-09-04;22.72;22.76;22.70;22.76;22.46;22.74;22.687;62364;1414366.16;487;
2019-09-03;22.42;22.46;22.02;22.54;22.02;22.42;22.41;109813;2462328.44;676;
2019-09-02;22.34;22.38;22.42;22.60;22.18;22.34;22.391;97671;2186961.3;742;
2019-08-30;22.38;22.42;22.04;22.42;21.84;22.38;22.264;104918;2336064.39;660;
2019-08-29;22.08;22.12;22.00;22.12;21.82;22.10;22.028;64323;1416886.06;543;
2019-08-28;21.90;21.94;22.40;22.66;21.86;21.94;22.047;140540;3096160.53;889;
2019-08-27;22.24;22.26;22.28;22.40;22.12;22.30;22.277;99859;2224625.07;672;
2019-08-26;22.22;22.24;22.42;22.52;22.16;22.22;22.267;51887;1155342.22;433;
2019-08-23;22.52;22.54;22.58;22.76;22.50;22.50;22.607;71213;1609914.29;658;
2019-08-22;22.50;22.52;22.74;22.74;22.40;22.54;22.535;51245;1154804.9;534;
2019-08-21;22.58;22.60;22.48;22.68;22.42;22.56;22.563;80322;1812314.17;581;
2019-08-20;22.42;22.44;22.20;22.58;22.12;22.48;22.417;154299;3458689.76;1020;
