PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
1COF;FUT ON COVESTRO AG;SINGLE STOCK FUTURES;1COF=A GR Equity;0#1COV:
1COV;OPT ON COVESTRO AG;SINGLE STOCK OPTIONS;1COV GR Equity;0#1COV*.EX
255B;OPT ON METRO CECONOMY BASKET;SINGLE STOCK OPTIONS;255B GY Equity;0#MEOB*.EX
255C;METRO CECONOMY BASKET DIV FUT;SINGLE STOCK DIVIDEND FUTURES;255C=A GR Equity;0#M2EO:
2FE;OPT ON Ferrari NV;SINGLE STOCK OPTIONS;RACE IM Equity;0#RACE*.EX
34DF;FUT ON DIASORIN S.P.A.;SINGLE STOCK FUTURES;34DF=A GR Equity;0#DIAS:
3GDF;Fut onBeneteau S.A. Actions P.;SINGLE STOCK FUTURES;3GDF=A GR Equity;0#CHBE:
3MUF;FUT ON Manitou B.F. ;SINGLE STOCK FUTURES;3MUF=A GR Equity;0#MANP:
5FLF;FUT ON Societe Fonc. Lyonn. SA;SINGLE STOCK FUTURES;5FLF=A GR Equity;0#FLYP:
6CMF;FUT ON CRODA INTERNATIONAL;SINGLE STOCK FUTURES;6CMF=A GR Equity;0#6CMF:
7AA;OPTION ON APERAM S.A.;SINGLE STOCK OPTIONS;APAM NA Equity;0#APAM*.EX
7AAF;FUT ON APERAM;SINGLE STOCK FUTURES;7AAF=A GR Equity;0#APAM:
7PIF;FUT ON Poste Italiane;SINGLE STOCK FUTURES;7PIF=A GR Equity;0#PST:
8BUF;FUT ON Brun. Cucinelli S.P.A.;SINGLE STOCK FUTURES;8BUF=A GR Equity;0#8BUF:
A2AL;ANGLO AMERICAN PLC DIVID. FUT.;SINGLE STOCK DIVIDEND FUTURES;A2AL=A GR Equity;0#A2AL:
A2AP;Apple Inc Dividend Futures;SINGLE STOCK DIVIDEND FUTURES;A2AP=A GR Equity;0#A2AP:
A2BB;ABB LTD. - N. DIVIDEND FUTURES;SINGLE STOCK DIVIDEND FUTURES;A2BB=A GR Equity;0#A2BB:
A2CR;FUT ON ACCOR SA DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;A2CR=A GR Equity;0#A2CR:
A2DE;FUT ON ADECCO GROUP DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;A2DE=A GR Equity;0#A2DE:
A2DS;ADIDAS AG DIVIDEND FUTURE;SINGLE STOCK DIVIDEND FUTURES;A2DS=A GR Equity;0#A2DS:
A2EN;AEGON DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;A2EN=A GR Equity;0#A2EN:
A2KU;FUT ON AKZO NOBEL NV DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;A2KU=A GR Equity;0#A2KU:
A2LV;ALLIANZ DIVIDEND FUT;SINGLE STOCK DIVIDEND FUTURES;A2LV=A GR Equity;0#A2LV:
A2MZ;Amazon.com Div Futures;SINGLE STOCK DIVIDEND FUTURES;A2MZ=A GR Equity;0#A2MZ:
A2SG;ASSICURAZIONI GENERALI DIVID;SINGLE STOCK DIVIDEND FUTURES;A2SG=A GR Equity;0#A2SG:
A2SM;ASML DIVIDEND FUTURES;SINGLE STOCK DIVIDEND FUTURES;A2SM=A GR Equity;0#A2SM:
A2V;AVIVA PLC DIVIDEND FUTURE;SINGLE STOCK DIVIDEND FUTURES;A2V=A GR Equity;0#A2VD:
A2XA;AXA DIVIDEND FUTURE;SINGLE STOCK DIVIDEND FUTURES;A2XA=A GR Equity;0#A2XA:
A2ZN;ASTRAZENECA PLC DIVID.FUT.;SINGLE STOCK DIVIDEND FUTURES;A2ZN=A GR Equity;0#A2ZN:
A3HO;FUT ON AHOLD DELHAIZE DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;A3HO=A GR Equity;0#A3HO:
A3KU;FUT ON AKZO NOBEL NV DIVIDEND;SINGLE STOCK DIVIDEND FUTURES;A3KU=A GR Equity;0#A3KU:
A3OM;FUT ON ALSTOM DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;A3OM=A GR Equity;0#A3OM:
A4IR;FUT ON AIR LIQUIDE DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;A4IR=A GR Equity;0#A4IR:
A5IR;FUT ON AIR LIQUIDE DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;A4IR=A GR Equity;0#A5IR:
A6IR;FUT ON AIR LIQUIDE DIVIDENDS;SINGLE STOCK DIVIDEND FUTURES;A4IR=A GR Equity;0#A6IR:
AA9F;FUT ON Alfa Laval ;SINGLE STOCK FUTURES;AA9F=A GR Equity;0#AA9F:
